user,story,score,bleu-1,bleu-2,bleu-3,bleu-4
Test User ,A Helping Hand,0.959594685413665,0.5028075820357818,0.5830081400844517,0.6131330915959653,0.6289042340005431
Test User ,All Aboard,0.8693844754308696,0.2786936811313146,0.338333511145384,0.3615767494991379,0.37392058292104313
Test User ,At Least I'm Ok,0.9580225711745548,0.3656317928471577,0.4089114613254345,0.4246873695265801,0.4328482970450054
Test User ,How to be an Otter,0.960241458631133,0.3722781021598341,0.41280057891332184,0.4274436984344418,0.4349938402693572
Test User ,Jungle Brew,0.9414924032949287,0.3679774443643058,0.4100968280464583,0.42549720431026417,0.43347474174638967
Test User ,My Best Friend,0.9488648499951702,0.48251646982323065,0.5715769012605366,0.6053803624380656,0.623145777936732
Test User ,My Home,0.963335602544224,0.43200996077472326,0.4826101979635394,0.5009189329819216,0.5103634994593601
Test User ,The Moon and The Cap,0.964762211483096,0.4120453532939406,0.4654576732263226,0.48516249088830754,0.49540705009112473
Test User ,The Rabbit's Long Ears,0.9537311275748334,0.3264635342028381,0.36714502695857726,0.3820010058477657,0.3896912417493505
Test User ,Turtle Story,0.9465585073968772,0.5629476236469518,0.6454421984228795,0.6759613612114824,0.691839897347325
Test User ,Under My Bed,0.9323081490612356,0.4178000522687288,0.48746788173696776,0.5139901746117951,0.5279546707896882
Test User ,Whats That Smell,0.8980936536674675,0.24740817360397294,0.2885256523241334,0.3039964655441803,0.31210032815119754
Test User 1001 ,A Helping Hand,0.9644216516492923,0.5068220732108655,0.58209214697956,0.6100261731371281,0.6245782915788212
Test User 1001 ,All Aboard,0.902198404494103,0.312749310088346,0.35708864054903955,0.3737100084868194,0.38240467308113796
Test User 1001 ,At Least I'm Ok,0.9529755503121038,0.3677110379401793,0.409723639404727,0.4251145769168628,0.4330966855246729
Test User 1001 ,How to be an Otter,0.9629907832054572,0.3678435283618935,0.41034750204652226,0.42575306941087077,0.433704759991335
Test User 1001 ,My Best Friend,0.9692763806008214,0.5101721510794816,0.5912957043571595,0.6215948375690078,0.6374165383634915
Test User 1001 ,My Home,0.9657471692590287,0.42599087978631023,0.47909626085686674,0.4984535954643183,0.5084669224400574
Test User 1001 ,The Moon and The Cap,0.9519597285986838,0.40181624443717096,0.45944017538727044,0.48092585591582654,0.49214147342006054
Test User 1001 ,The Rabbit's Long Ears,0.0,0.0,0.0,0.0,0.0
Test User 1001 ,Turtle Story,0.0,0.0,0.0,0.0,0.0
Test User 1001 ,Under My Bed,0.9323955635155068,0.4238247854847073,0.49131443569709643,0.5165441619348394,0.529723493604424
Test User 1001 ,Whats That Smell,0.9035585454400827,0.2606794608424352,0.2957235132810472,0.30879675398746403,0.31562535659043667
Test User 1101 ,A Helping Hand,0.9641939861383795,0.510894652383265,0.588126472707212,0.6172756417903488,0.6325826872756979
Test User 1101 ,All Aboard,0.9094223982108027,0.31737710507313566,0.3597337729322745,0.37545766425636035,0.3836517641192533
Test User 1101 ,At Least I'm Ok,0.0,0.0,0.0,0.0,0.0
Test User 1101 ,How to be an Otter,0.9622896698849701,0.3672797893334751,0.4101942579160244,0.42568490263469,0.4336672251399284
Test User 1101 ,Jungle Brew,0.9419772520440679,0.3790697547720284,0.4171274822912882,0.430880626831021,0.4379727029569219
Test User 1101 ,My Best Friend,0.9635533067556126,0.5116500451850324,0.589325149609722,0.6182036625432651,0.6332570068521656
