id,corpus,src
3666,sand_test1 | English,my name is sandipan
3665,Test_sand | Hindi,हम रास्ते में नाश्ता कर सकते हैं
3664,Test_sand | Hindi,हम एक साथ ऑफिस जा सकते हैं
3663,Test_sand | Hindi,क्या आप कल सुबह यहाँ आ सकते हैं
3662,नानी की ऐनक MT L2 | English,she really is the best
3661,नानी की ऐनक MT L2 | English,i love my grandma
3660,नानी की ऐनक MT L2 | English,the yellow sweater that she knitted for me is my favorite
3659,नानी की ऐनक MT L2 | English,"she tells me interesting tales from her childhood , while i help her peel the peas"
3658,नानी की ऐनक MT L2 | English,i like to help my grandma
3657,नानी की ऐनक MT L2 | English,she shoos them away with a newspaper in hand
3656,नानी की ऐनक MT L2 | English,she is not afraid of spiders
3655,नानी की ऐनक MT L2 | English,grandma is also very brave
3654,नानी की ऐनक MT L2 | English,my grandma also helps me read new books
3653,नानी की ऐनक MT L2 | English,her laddoos are big and soft with a tiny cashew nut on top
3652,नानी की ऐनक MT L2 | English,she makes yummy laddoos for me
3651,नानी की ऐनक MT L2 | English,my favorite person in my family is my grandma
3650,नानी की ऐनक PE L2 | English,she really is the best
3649,नानी की ऐनक PE L2 | English,i love my grandma
3648,नानी की ऐनक PE L2 | English,the yellow sweater that she knitted for me is my favorite
3647,नानी की ऐनक PE L2 | English,"she tells me interesting tales from her childhood , while i help her peel the peas"
3646,नानी की ऐनक PE L2 | English,i like to help my grandma
3645,नानी की ऐनक PE L2 | English,she shoos them away with a newspaper in hand
3644,नानी की ऐनक PE L2 | English,she is not afraid of spiders
3643,नानी की ऐनक PE L2 | English,grandma is also very brave
3642,नानी की ऐनक PE L2 | English,my grandma also helps me read new books
3641,नानी की ऐनक PE L2 | English,her laddoos are big and soft with a tiny cashew nut on top
3640,नानी की ऐनक PE L2 | English,she makes yummy laddoos for me
3639,नानी की ऐनक PE L2 | English,my favorite person in my family is my grandma
3638,मेरी सहेली PE L1 | English,we will play again in my dreams
3637,मेरी सहेली PE L1 | English,but i do not mind at all
3636,मेरी सहेली PE L1 | English,"in the morning , my friend will go back into the mirror"
3635,मेरी सहेली PE L1 | English,"when i talk to her , she also talks to me"
3634,मेरी सहेली PE L1 | English,"we play , we run , we shout and scream together"
3633,मेरी सहेली PE L1 | English,and we have fun
3632,मेरी सहेली PE L1 | English,she comes out of the mirror in my sleep
3631,मेरी सहेली PE L1 | English,i go to sleep
3630,मेरी सहेली PE L1 | English,i am not happy
3629,मेरी सहेली PE L1 | English,she does not come out
3628,मेरी सहेली PE L1 | English,"come out , i tell her , we will play"
3627,मेरी सहेली PE L1 | English,my friend lives inside the mirror
3626,मेरी सहेली PE L1 | English,but i cannot hear her voice
3625,मेरी सहेली PE L1 | English,"when i cry , she cries too"
3624,मेरी सहेली PE L1 | English,"when i am happy , so is she"
3623,मेरी सहेली PE L1 | English,she lives in my house
3622,मेरी सहेली PE L1 | English,i have a friend
3621,चाँद का तोहफ़ा PE L1 | English,do you think the sun needs a hat
3620,चाँद का तोहफ़ा PE L1 | English,we were happy
3619,चाँद का तोहफ़ा PE L1 | English,"that night , both the moon and i wore our caps and smiled"
3618,चाँद का तोहफ़ा PE L1 | English,"the moon sent it , she said"
3617,चाँद का तोहफ़ा PE L1 | English,"after school the next day , my mother gave me a shiny new red cap"
3616,चाँद का तोहफ़ा PE L1 | English,i had to smile too
3615,चाँद का तोहफ़ा PE L1 | English,the moon smiled happily
3614,चाँद का तोहफ़ा PE L1 | English,it tried on my cap
3613,चाँद का तोहफ़ा PE L1 | English,it looked at my cap on the old tree
3612,चाँद का तोहफ़ा PE L1 | English,"later that night , the moon came up"
3611,चाँद का तोहफ़ा PE L1 | English,and i did not eat my dinner
3610,चाँद का तोहफ़ा PE L1 | English,i cried a lot
3609,चाँद का तोहफ़ा PE L1 | English,my cap got stuck on a branch of the old tree
3608,चाँद का तोहफ़ा PE L1 | English,it blew my cap away
3607,चाँद का तोहफ़ा PE L1 | English,"on the way home , a very strong wind came"
3606,चाँद का तोहफ़ा PE L1 | English,the baby got sugar candy
3605,चाँद का तोहफ़ा PE L1 | English,mother bought me a bright blue cap
3604,चाँद का तोहफ़ा PE L1 | English,papa bought brother fancy glasses
3603,चाँद का तोहफ़ा PE L1 | English,all of us went to the state fair
3602,घर PE L1 | English,come soon
3601,घर PE L1 | English,you must come and visit my home
3600,घर PE L1 | English,"when we have important guests , we bring out the chairs"
3599,घर PE L1 | English,"when it is hot , we use a fan"
3598,घर PE L1 | English,"when it is cold , we bring out quilts"
3597,घर PE L1 | English,tasty food is cooked in the kitchen
3596,घर PE L1 | English,my mother and grandmother keep their saris in the trunk
3595,घर PE L1 | English,but his helmet is on the cupboard
3594,घर PE L1 | English,my father keeps his motorcycle outside
3593,घर PE L1 | English,we also keep our mats there
3592,घर PE L1 | English,my grandfather keeps his stick in the corner
3591,घर PE L1 | English,i hang my clothes on the hook
3590,घर PE L1 | English,this is where we wash our face and hands
3589,घर PE L1 | English,we take off our shoes here
3588,घर PE L1 | English,i live here with my whole family
3587,घर PE L1 | English,this is my home
3586,खरगोश के लम्बे कान PE L2 | English,since that day the rabbits tail is short and his ears long
3585,खरगोश के लम्बे कान PE L2 | English,"his ears had become very , very long after the jackal had pulled them"
3584,खरगोश के लम्बे कान PE L2 | English,his tail got cut and was left behind in the hole
3583,खरगोश के लम्बे कान PE L2 | English,the rabbit yelled in pain and jumped
3582,खरगोश के लम्बे कान PE L2 | English,"when he saw the tail move , the crab bit the rabbits tail again"
3581,खरगोश के लम्बे कान PE L2 | English,the jackal caught him by the ears and pulled with all his might
3580,खरगोश के लम्बे कान PE L2 | English,"my tail is caught inside , pull me out"
3579,खरगोश के लम्बे कान PE L2 | English,"the rabbit gasped , do not just look at me"
3578,खरगोश के लम्बे कान PE L2 | English,the jackal heard him and came running to him
3577,खरगोश के लम्बे कान PE L2 | English,the poor rabbit cried loudly
3576,खरगोश के लम्बे कान PE L2 | English,the crab bit his tail hard and held it tight
3575,खरगोश के लम्बे कान PE L2 | English,"when his hand could not reach the crab , the rabbit put his tail into the hole"
3574,खरगोश के लम्बे कान PE L2 | English,he carefully put his hand in the hole which was quite deep
3573,खरगोश के लम्बे कान PE L2 | English,"this will be perfect , thought the rabbit"
3572,खरगोश के लम्बे कान PE L2 | English,he peeped in and saw a fat crab sitting inside
3571,खरगोश के लम्बे कान PE L2 | English,the rabbit soon spotted a hole in the mud
3570,खरगोश के लम्बे कान PE L2 | English,the rabbit went in one direction and the jackal in another
3569,खरगोश के लम्बे कान PE L2 | English,both the friends set off to find a crab
3568,खरगोश के लम्बे कान PE L2 | English,"the rabbit said , let us go and get a crab for her"
3567,खरगोश के लम्बे कान PE L2 | English,now she says she could eat a crab
3566,खरगोश के लम्बे कान PE L2 | English,she does not feel like eating anything
3565,खरगोश के लम्बे कान PE L2 | English,"the jackal called the rabbit and said , my wife has fever"
3564,खरगोश के लम्बे कान PE L2 | English,one day the jackals wife was not feeling well
3563,खरगोश के लम्बे कान PE L2 | English,a jackal and a rabbit were the best of friends
3562,मेरे पलंग के नीचे PE L2 | English,and dream about real tigers in a jungle
3561,मेरे पलंग के नीचे PE L2 | English,now i will sleep
3560,मेरे पलंग के नीचे PE L2 | English,ma gets me some water
