id,corpus,src
3666,sand_test1 | English,my name is sandipan
3559,मेरे पलंग के नीचे PE L2 | English,i got scared for nothing
3558,मेरे पलंग के नीचे PE L2 | English,its buttons shine like a tigers eyes
3557,मेरे पलंग के नीचे PE L2 | English,this is my thick yellow and black sweater
3556,मेरे पलंग के नीचे PE L2 | English,"hey , this is no tiger"
3555,मेरे पलंग के नीचे PE L2 | English,ma bends and pulls the tiger out from under the bed
3554,मेरे पलंग के नीचे PE L2 | English,i point towards the tiger
3553,मेरे पलंग के नीचे PE L2 | English,asks ma
3552,मेरे पलंग के नीचे PE L2 | English,did you call me
3551,मेरे पलंग के नीचे PE L2 | English,what happened dear
3550,मेरे पलंग के नीचे PE L2 | English,ma is standing at the door
3549,मेरे पलंग के नीचे PE L2 | English,then someone turns on the light
3548,मेरे पलंग के नीचे PE L2 | English,but i am not sleepy any more
3547,मेरे पलंग के नीचे PE L2 | English,should i just go back to sleep
3546,मेरे पलंग के नीचे PE L2 | English,what if the tiger roars
3545,मेरे पलंग के नीचे PE L2 | English,should i call ma
3544,मेरे पलंग के नीचे PE L2 | English,now what should i do
3543,मेरे पलंग के नीचे PE L2 | English,there is a tiger under my bed
3542,मेरे पलंग के नीचे PE L2 | English,oh my goodness
3541,मेरे पलंग के नीचे PE L2 | English,i start looking for my slippers under the bed
3540,मेरे पलंग के नीचे PE L2 | English,i want to get some water
3539,मेरे पलंग के नीचे PE L2 | English,i wake up at night feeling thirsty
3538,यह कैसी गंध है? PE L3 | English,brother runs away while pa cleans up the mess
3537,यह कैसी गंध है? PE L3 | English,tara is sure she can never eat eggs again
3536,यह कैसी गंध है? PE L3 | English,"these have gone bad too , says pa"
3535,यह कैसी गंध है? PE L3 | English,oh no
3534,यह कैसी गंध है? PE L3 | English,shouts tara
3533,यह कैसी गंध है? PE L3 | English,"brother , now it smells even worse"
3532,यह कैसी गंध है? PE L3 | English,brother picks up an egg and drops it
3531,यह कैसी गंध है? PE L3 | English,we cannot eat them
3530,यह कैसी गंध है? PE L3 | English,"yes , they are rotten , says ma"
3529,यह कैसी गंध है? PE L3 | English,"asks tara , sadly"
3528,यह कैसी गंध है? PE L3 | English,have the vegetables gone bad too
3527,यह कैसी गंध है? PE L3 | English,you will fall sick if you eat it
3526,यह कैसी गंध है? PE L3 | English,"do not touch it , says pa"
3525,यह कैसी गंध है? PE L3 | English,"fuzzy , says brother , curiously"
3524,यह कैसी गंध है? PE L3 | English,"that is mold , says pa , it grows on the bread"
3523,यह कैसी गंध है? PE L3 | English,"yes , do you see that green stuff"
3522,यह कैसी गंध है? PE L3 | English,asks tara
3521,यह कैसी गंध है? PE L3 | English,has the bread gone bad
3520,यह कैसी गंध है? PE L3 | English,"milk needs to be kept cold to stay fresh , says pa"
3519,यह कैसी गंध है? PE L3 | English,asks ma
3518,यह कैसी गंध है? PE L3 | English,"yes , can you smell how sour it is"
3517,यह कैसी गंध है? PE L3 | English,asks tara
3516,यह कैसी गंध है? PE L3 | English,has the milk gone bad
3515,यह कैसी गंध है? PE L3 | English,"without the cold air , everything spoiled , says ma , glumly"
3514,यह कैसी गंध है? PE L3 | English,"the fridge stopped working some time ago , pa explains"
3513,यह कैसी गंध है? PE L3 | English,asks tara
3512,यह कैसी गंध है? PE L3 | English,what happened
3511,यह कैसी गंध है? PE L3 | English,"hmm , it is warm inside and the light is off , says ma , sticking her arm into the fridge"
3510,यह कैसी गंध है? PE L3 | English,everyone covers their noses and mouths
3509,यह कैसी गंध है? PE L3 | English,ma opens the fridge
3508,यह कैसी गंध है? PE L3 | English,"let us open the fridge and see what is inside , says ma"
3507,यह कैसी गंध है? PE L3 | English,"scared , says brother , hugging ma"
3506,यह कैसी गंध है? PE L3 | English,gasps tara
3505,यह कैसी गंध है? PE L3 | English,a stinky fridge monster
3504,यह कैसी गंध है? PE L3 | English,"it is coming from there , says pa , pointing at the fridge"
3503,यह कैसी गंध है? PE L3 | English,pa checks the kitchen
3502,यह कैसी गंध है? PE L3 | English,tara checks the dining room
3501,यह कैसी गंध है? PE L3 | English,brother checks the bathroom
3500,यह कैसी गंध है? PE L3 | English,ma checks the bedroom
3499,यह कैसी गंध है? PE L3 | English,where is the smell coming from
3498,यह कैसी गंध है? PE L3 | English,the whole house smells
3497,यह कैसी गंध है? PE L3 | English,"it is hot , dark and stinky"
3496,यह कैसी गंध है? PE L3 | English,yells brother
3495,यह कैसी गंध है? PE L3 | English,a monster
3494,यह कैसी गंध है? PE L3 | English,cries tara
3493,यह कैसी गंध है? PE L3 | English,what is that smell
3492,यह कैसी गंध है? PE L3 | English,very wrong
3491,यह कैसी गंध है? PE L3 | English,"as soon as tara , brother , ma and pa enter the house , they know that something is wrong"
3490,यह कैसी गंध है? PE L3 | English,"fried rice , brother echoes"
3489,यह कैसी गंध है? PE L3 | English,asks tara
3488,यह कैसी गंध है? PE L3 | English,"pa , can you make fried rice"
3487,यह कैसी गंध है? PE L3 | English,says pa
3486,यह कैसी गंध है? PE L3 | English,i will cook dinner
3485,यह कैसी गंध है? PE L3 | English,"we have milk , eggs , bread and vegetables in the fridge , says ma"
3484,यह कैसी गंध है? PE L3 | English,"also hungry , he says loudly"
3483,यह कैसी गंध है? PE L3 | English,brother rubs his stomach
3482,यह कैसी गंध है? PE L3 | English,i am hungry
3481,यह कैसी गंध है? PE L3 | English,tara nods
3480,यह कैसी गंध है? PE L3 | English,says ma
3479,यह कैसी गंध है? PE L3 | English,"it is good to be back , right tara"
3478,यह कैसी गंध है? PE L3 | English,tara and her family are home
3477,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"but at least i am okay , thought the wild cats"
3476,हमें तो कोई दिक्कत नहीं है! PE L3 | English,too bad for the turtles
3475,हमें तो कोई दिक्कत नहीं है! PE L3 | English,but the big rock does not look so big now – the water has almost covered it
3474,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"all we know is that the sand used to reach to the big rock , said the big , old turtle"
3473,हमें तो कोई दिक्कत नहीं है! PE L3 | English,asked the wild cats
3472,हमें तो कोई दिक्कत नहीं है! PE L3 | English,where did it go
3471,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"there is hardly enough sand left for us , said the turtles , who laid their eggs on the sandy beach"
3470,हमें तो कोई दिक्कत नहीं है! PE L3 | English,you always seemed happy here
3469,हमें तो कोई दिक्कत नहीं है! PE L3 | English,asked the wild cats
3468,हमें तो कोई दिक्कत नहीं है! PE L3 | English,why
3467,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"but one day , the turtles started to pack up and leave"
3466,हमें तो कोई दिक्कत नहीं है! PE L3 | English,everyone soon forgot about the whales
3465,हमें तो कोई दिक्कत नहीं है! PE L3 | English,they should be more like me
3464,हमें तो कोई दिक्कत नहीं है! PE L3 | English,i do not mind if it is too hot or cold
3463,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"picky , picky , muttered una to herself"
3462,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"at least i am okay , the turtles thought"
3461,हमें तो कोई दिक्कत नहीं है! PE L3 | English,but they did not think too much about it
3460,हमें तो कोई दिक्कत नहीं है! PE L3 | English,the turtles would miss the beautiful songs sung by the whales
3459,हमें तो कोई दिक्कत नहीं है! PE L3 | English,the whales liked to live in cool waters and the water here was now too warm
3458,हमें तो कोई दिक्कत नहीं है! PE L3 | English,we will have to go further north where it is cooler
3457,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"the water has become a bit too warm for us , said the whales"
3456,हमें तो कोई दिक्कत नहीं है! PE L3 | English,it is quite nice here
3455,हमें तो कोई दिक्कत नहीं है! PE L3 | English,asked the turtles
3454,हमें तो कोई दिक्कत नहीं है! PE L3 | English,why
3453,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"one day , the whales who spent most of the year in nearby waters announced that they were going to live someplace else"
3452,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"slowly , the climate began to change , but the animals were not really paying attention"
3451,हमें तो कोई दिक्कत नहीं है! PE L3 | English,but una thought her ways were the best
3450,हमें तो कोई दिक्कत नहीं है! PE L3 | English,all the animals had ways they liked to do things
3449,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"i do , thought una"
3448,हमें तो कोई दिक्कत नहीं है! PE L3 | English,can they go to the stream by themselves
3447,हमें तो कोई दिक्कत नहीं है! PE L3 | English,why do they always have to do everything together
3446,हमें तो कोई दिक्कत नहीं है! PE L3 | English,sometimes una thought that the others were a bit silly
3445,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"she rather liked it – she could do whatever she wanted , whenever she wanted"
3444,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"she did not spend too much time with the other animals , and got used to being alone"
3443,हमें तो कोई दिक्कत नहीं है! PE L3 | English,the climb up and down the rocky mountain trails was long and difficult
3442,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"una lived high above the others , on top of a mountain"
3441,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"there was clear , cool water for everyone"
3440,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"there was grass for the rabbits and the deer , insects for the birds and the bears to snack on , and fish for the crocodiles and wild cats"
3439,हमें तो कोई दिक्कत नहीं है! PE L3 | English,the animals loved sakuland
3438,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"it stretched from the shores of the sea to the forests , from the valleys to the mountain"
3437,हमें तो कोई दिक्कत नहीं है! PE L3 | English,sakuland was a wonderful country
3436,हमें तो कोई दिक्कत नहीं है! PE L3 | English,"una , the mountain goat , lived in sakuland"
3435,ऊदबिलाव बनने के गुण PE L3 | English,"and remember , the river will always be your home"
3434,ऊदबिलाव बनने के गुण PE L3 | English,you have to learn quickly and trust your instincts
3433,ऊदबिलाव बनने के गुण PE L3 | English,"your favourite sandbank may disappear tomorrow , just as it may return after the rainy season"
3432,ऊदबिलाव बनने के गुण PE L3 | English,the river will keep changing
3431,ऊदबिलाव बनने के गुण PE L3 | English,"do not be curious about shiny , metallic objects"
3430,ऊदबिलाव बनने के गुण PE L3 | English,stay away from anything that does not belong to the river—it could be a trap
3429,ऊदबिलाव बनने के गुण PE L3 | English,"keep away from him , and he will keep away from you"
3428,ऊदबिलाव बनने के गुण PE L3 | English,"like us , the fisherman needs to catch fish to feed his family"
3427,ऊदबिलाव बनने के गुण PE L3 | English,"the fisherman can be your friend , but watch out for his nets"
3426,ऊदबिलाव बनने के गुण PE L3 | English,do not disturb them
3425,ऊदबिलाव बनने के गुण PE L3 | English,the mugger crocodiles prefer to be left alone
3424,ऊदबिलाव बनने के गुण PE L3 | English,"you will have to share the river with large herons , shy turtles , peaceful pelicans , honking ducks and moody mugger crocodiles"
3423,ऊदबिलाव बनने के गुण PE L3 | English,learn to share your space
3422,ऊदबिलाव बनने के गुण PE L3 | English,"here , you will have sand to dig , places to hide , and rocks to nap on"
3421,ऊदबिलाव बनने के गुण PE L3 | English,the river is also your playground
3420,ऊदबिलाव बनने के गुण PE L3 | English,"listen to the elders , for they know the river well"
3419,ऊदबिलाव बनने के गुण PE L3 | English,the elders of the family will guard the pups
3418,ऊदबिलाव बनने के गुण PE L3 | English,you will also protect each other
3417,ऊदबिलाव बनने के गुण PE L3 | English,you will hunt and play together
3416,ऊदबिलाव बनने के गुण PE L3 | English,"you will live in a group , as a family"
3415,ऊदबिलाव बनने के गुण PE L3 | English,"it is here , on the banks of the river , that you will dig a den for your family"
3414,ऊदबिलाव बनने के गुण PE L3 | English,the river is your home
3413,ऊदबिलाव बनने के गुण PE L3 | English,"but remember , never eat dead fish"
3412,ऊदबिलाव बनने के गुण PE L3 | English,not all of them are easy to catch
3411,ऊदबिलाव बनने के गुण PE L3 | English,"you will find small fish and large fish and fish that look like snakes , and even some with cat - like whiskers"
3410,ऊदबिलाव बनने के गुण PE L3 | English,you will grow to like fishy smells and smelly fish
3409,ऊदबिलाव बनने के गुण PE L3 | English,know your fish
3408,ऊदबिलाव बनने के गुण PE L3 | English,it is waterproof and will help keep you warm when swimming in cold waters
3407,ऊदबिलाव बनने के गुण PE L3 | English,look after your fur coat
3406,ऊदबिलाव बनने के गुण PE L3 | English,"your webbed feet and long , paddle - like tail will help you"
3405,ऊदबिलाव बनने के गुण PE L3 | English,"well enough to catch fish , and escape from danger"
3404,ऊदबिलाव बनने के गुण PE L3 | English,learn to swim well
3403,ऊदबिलाव बनने के गुण PE L3 | English,learn to swim
3402,थोड़ी सी मदद PE L4 | English,"see you , me"
3401,थोड़ी सी मदद PE L4 | English,"also , i saw what happened at lunch"
3400,थोड़ी सी मदद PE L4 | English,it took me some time to understand
3399,थोड़ी सी मदद PE L4 | English,then i thought it was a toy hand
3398,थोड़ी सी मदद PE L4 | English,"it looked weird , like it was covered in plastic or something"
3397,थोड़ी सी मदद PE L4 | English,"then , when i came closer , i saw that something was not quite right"
3396,थोड़ी सी मदद PE L4 | English,at first i could not tell what the problem was
3395,थोड़ी सी मदद PE L4 | English,i saw how you did everything with one hand and how your left hand never moved
3394,थोड़ी सी मदद PE L4 | English,"yes , i noticed it the first day when you came into the classroom"
3393,थोड़ी सी मदद PE L4 | English,"to be really honest , i ca not say i am not curious myself or that i do not have the same questions the others are asking me"
3392,थोड़ी सी मदद PE L4 | English,how am i supposed to know why you have that thing or how it works
3391,थोड़ी सी मदद PE L4 | English,what is the point of asking me
3390,थोड़ी सी मदद PE L4 | English,"me hello , i keep telling them that they can ask you whatever they want to know"
3389,थोड़ी सी मदद PE L4 | English,this is all your fault
3388,थोड़ी सी मदद PE L4 | English,i tore my shirt and ma was angry with me
3387,थोड़ी सी मदद PE L4 | English,then they threw it into the thicket by the side of the road and i had to scramble down into the mountainside to get it
3386,थोड़ी सी मदद PE L4 | English,they took my bag and would not give it back
3385,थोड़ी सी मदद PE L4 | English,"rahm , ali and two of their friends from class vii cornered me after school to ask about you know what"
3384,थोड़ी सी मदद PE L4 | English,do you know what happened yesterday
3383,थोड़ी सी मदद PE L4 | English,why will you continue going to whatever school you went to earlier
3382,थोड़ी सी मदद PE L4 | English,why did you come to our school
3381,थोड़ी सी मदद PE L4 | English,they stare at me too because i have to hang around with you and be your mentor
3380,थोड़ी सी मदद PE L4 | English,"yours sincerely , me hi again , ma says that it is not good to stare at people , but i can see that everyone stares at you"
3379,थोड़ी सी मदद PE L4 | English,"see , you made me lie to my friends"
3378,थोड़ी सी मदद PE L4 | English,how can i not know
3377,थोड़ी सी मदद PE L4 | English,"i told them that i did not know what they were talking about , but that is not true"
3376,थोड़ी सी मदद PE L4 | English,"ali and rahm and sumi and rani , they kept asking me about it when we were going home from school"
3375,थोड़ी सी मदद PE L4 | English,"anyway , she did not tell me anything about that"
3374,थोड़ी सी मदद PE L4 | English,"i did not know what a mentor is , so i looked it up in the dictionary"
3373,थोड़ी सी मदद PE L4 | English,miss told me that i had to be your mentor and show you around because you are a new student
3372,थोड़ी सी मदद PE L4 | English,and it is not like you are ever going to see this letter
3371,थोड़ी सी मदद PE L4 | English,"dear… well , you know who you are"
3370,मसाला चाय PE L4 | English,she would tell everyone about this mysterious place
3369,मसाला चाय PE L4 | English,"maya believed that if she ever had the chance to go to senseless point , she would return to her hamlet and describe it to everyone"
3368,मसाला चाय PE L4 | English,"from all the talk around , it seemed like a mysterious place promising an experience of a lifetime"
3367,मसाला चाय PE L4 | English,a few people from the neighbouring villages had been there but no one from her own village
3366,मसाला चाय PE L4 | English,everybody in the village talked of senseless point
3365,मसाला चाय PE L4 | English,she had to stop dreaming of faraway lands when she had never even been to senseless point
3364,मसाला चाय PE L4 | English,her heart would race and thump loudly as rahm would speak but it would always end with a deep sigh
3363,मसाला चाय PE L4 | English,she longed to visit these lands and see their different sights
3362,मसाला चाय PE L4 | English,maya loved to hear rahms tales
3361,मसाला चाय PE L4 | English,he would also tell her of his flights to different lands and of people who lived there
3360,मसाला चाय PE L4 | English,"then there was rahm the parrot , who would fly in to the village every morning , perch himself atop a tree facing mayas hut , and tell her of the entire buzz in the forest"
3359,मसाला चाय PE L4 | English,waking up to those refreshing scents was the best way for maya to begin her day
3358,मसाला चाय PE L4 | English,then there were days when all she could smell was a familiar bouquet
3357,मसाला चाय PE L4 | English,at other times it was a strong and sharp scent
3356,मसाला चाय PE L4 | English,"sometimes she could smell a sweet , sweet fragrance"
3355,मसाला चाय PE L4 | English,she loved to take in deep breaths every morning as the air carried all kinds of different aromas
3354,मसाला चाय PE L4 | English,"she , along with her friends , would prance through the endless forests around her village"
3353,मसाला चाय PE L4 | English,maya was as sprightly as her name
3352,मसाला चाय PE L4 | English,"on misty days , the leaves of plants and trees held the biggest dewdrops you could imagine"
3351,मसाला चाय PE L4 | English,her house was surrounded by the tallest and greenest trees you would have ever seen
3350,मसाला चाय PE L4 | English,she lived in a hut with her mother
3349,मसाला चाय PE L4 | English,"in a little hilly hamlet of southern india , lived a young girl called maya"
3348,कछुआ PE L4 | English,i wondered how i would find it
3347,कछुआ PE L4 | English,"they said it was full of beautiful , brightly - coloured creatures , both harmless ones like the clown fish and poisonous ones like the scorpion fish"
3346,कछुआ PE L4 | English,everyone said the reef was the fairyland of the ocean
3345,कछुआ PE L4 | English,i had heard wonderful things about a place called the reef where a lot of other turtles lived
3344,कछुआ PE L4 | English,"i enjoyed it very much , but as i grew up , i decided it was time to explore the big wide world outside the raft"
3343,कछुआ PE L4 | English,being on the raft was like going on a world cruise
3342,कछुआ PE L4 | English,"i would not leave this safe haven for many , many years"
3341,कछुआ PE L4 | English,"gratefully , i slipped into the raft"
3340,कछुआ PE L4 | English,"on and in the raft are the drifters , all the seas little and not - so - little creatures that float around the ocean , waiting for something to happen"
3339,कछुआ PE L4 | English,"a seaweed raft is just that , a floating mass of seaweed and driftwood that travels around the ocean , carried along by the current"
3338,कछुआ PE L4 | English,"just when i was beginning to tire , i saw a seaweed raft"
3337,कछुआ PE L4 | English,"moments later , i was swimming as fast as i could , with those big teeth snapping at my little hind flippers"
3336,कछुआ PE L4 | English,"mmmmm , he seemed to be thinking , baby turtle soup"
3335,कछुआ PE L4 | English,"when he saw me , his eyes lit up"
3334,कछुआ PE L4 | English,i could tell he was a really hungry fish too
3333,कछुआ PE L4 | English,chasing them was a really big fish
3332,कछुआ PE L4 | English,"just as i was beginning to think that i would love to spend the rest of my life here , a school of fish went by"
3331,कछुआ PE L4 | English,"the sun warmed me , and filled me with new energy"
3330,कछुआ PE L4 | English,"but that does not matter when the sun is shining , and your stomach is full"
3329,कछुआ PE L4 | English,i did not know where i was
3328,कछुआ PE L4 | English,"i tucked my flippers beneath my body and floated for a while , letting the current carry me"
3327,कछुआ PE L4 | English,"there was blue and green water in every direction , and the sunlight was playing games with the clouds"
3326,कछुआ PE L4 | English,"i was a baby sea turtle - an olive ridley - in the middle of a big blue world , which i had heard someone call the ocean"
3325,कछुआ PE L4 | English,and then i remembered
3324,कछुआ PE L4 | English,"i looked around me , wondering where i was"
3323,कछुआ PE L4 | English,"when i woke up in the morning , the sun was shining again"
3322,मेरी सहेली MT L1 | English,we will play again in my dreams
3321,मेरी सहेली MT L1 | English,but i do not mind at all
3320,मेरी सहेली MT L1 | English,"in the morning , my friend will go back into the mirror"
3319,मेरी सहेली MT L1 | English,"when i talk to her , she also talks to me"
3318,मेरी सहेली MT L1 | English,"we play , we run , we shout and scream together"
3317,मेरी सहेली MT L1 | English,and we have fun
3316,मेरी सहेली MT L1 | English,she comes out of the mirror in my sleep
3315,मेरी सहेली MT L1 | English,i go to sleep
3314,मेरी सहेली MT L1 | English,i am not happy
3313,मेरी सहेली MT L1 | English,she does not come out
3312,मेरी सहेली MT L1 | English,"come out , i tell her , we will play"
3311,मेरी सहेली MT L1 | English,my friend lives inside the mirror
3310,मेरी सहेली MT L1 | English,but i cannot hear her voice
3309,मेरी सहेली MT L1 | English,"when i cry , she cries too"
3308,मेरी सहेली MT L1 | English,"when i am happy , so is she"
3307,मेरी सहेली MT L1 | English,she lives in my house
3306,मेरी सहेली MT L1 | English,i have a friend
3305,चाँद का तोहफ़ा MT L1 | English,do you think the sun needs a hat
3304,चाँद का तोहफ़ा MT L1 | English,we were happy
3303,चाँद का तोहफ़ा MT L1 | English,"that night , both the moon and i wore our caps and smiled"
3302,चाँद का तोहफ़ा MT L1 | English,"the moon sent it , she said"
3301,चाँद का तोहफ़ा MT L1 | English,"after school the next day , my mother gave me a shiny new red cap"
3300,चाँद का तोहफ़ा MT L1 | English,i had to smile too
3299,चाँद का तोहफ़ा MT L1 | English,the moon smiled happily
3298,चाँद का तोहफ़ा MT L1 | English,it tried on my cap
3297,चाँद का तोहफ़ा MT L1 | English,it looked at my cap on the old tree
